w7	V(out)
1.000000000000000e-06	-2.489247e+00
2.000000000000000e-06	-2.468073e+00
3.000000000000000e-06	-2.443399e+00
4.000000000000000e-06	-2.415028e+00
5.000000000000000e-06	-2.381019e+00
5.999999999999999e-06	-2.336647e+00
6.999999999999999e-06	-2.268988e+00
8.000000000000000e-06	-2.157811e+00
9.000000000000000e-06	-1.995651e+00
1.000000000000000e-05	-1.791379e+00
1.100000000000000e-05	-1.565369e+00
1.200000000000000e-05	-1.335431e+00
1.300000000000000e-05	-1.111513e+00
1.400000000000000e-05	-8.979663e-01
1.500000000000000e-05	-6.962433e-01
1.600000000000000e-05	-5.064530e-01
1.700000000000000e-05	-3.281163e-01
1.800000000000000e-05	-1.605234e-01
1.900000000000000e-05	-2.900962e-03
2.000000000000000e-05	1.455098e-01
